iter	Passed	Remaining
399	64699	97048
400	64868	96898
401	65018	96718
402	65199	96585
403	65371	96439
404	65555	96310
405	65708	96134
406	65857	95954
407	66012	95782
408	66181	95631
409	66358	95490
410	66559	95385
411	66727	95232
412	66883	95061
413	67040	94892
414	67187	94710
415	67363	94567
416	67549	94439
417	67727	94300
418	67908	94163
419	68051	93975
420	68236	93845
421	68418	93710
422	68571	93535
423	68718	93353
424	68901	93220
425	69066	93061
426	69235	92909
427	69389	92736
428	69562	92587
429	69720	92419
430	69878	92252
431	70052	92106
432	70212	91940
433	70387	91795
434	70545	91628
435	70694	91448
436	70872	91306
437	71045	91158
438	71214	91004
439	71389	90858
440	71560	90708
441	71721	90544
442	71894	90395
443	72048	90222
444	72230	90084
445	72393	89923
446	72557	89763
447	72747	89635
448	72926	89492
449	73094	89337
450	73255	89173
451	73397	88986
452	73571	88837
453	73753	88698
454	73930	88554
455	74096	88395
456	74281	88259
457	74448	88103
458	74625	87956
459	74776	87780
460	74952	87634
461	75115	87472
462	75286	87319
463	75461	87170
464	75635	87021
465	75793	86852
466	75973	86710
467	76142	86554
468	76295	86381
469	76449	86208
470	76611	86045
471	76780	85890
472	76959	85745
473	77118	85578
474	77315	85453
475	77503	85318
476	77684	85175
477	77866	85034
478	78046	84890
479	78200	84717
480	78380	84572
481	78515	84379
482	78698	84238
483	78844	84057
484	79026	83914
485	79188	83751
486	79372	83610
487	79550	83462
488	79726	83313
489	79889	83150
490	80082	83018
491	80249	82859
492	80427	82711
493	80591	82549
494	80755	82387
495	80924	82229
496	81080	82059
497	81243	81896
498	81439	81765
499	81621	81621
500	81791	81464
501	81975	81322
502	82163	81183
503	82323	81016
504	82510	80876
505	82673	80713
506	82840	80552
507	82992	80378
508	83151	80211
509	83313	80046
510	83490	79895
511	83655	79734
512	83818	79570
513	83980	79405
514	84158	79256
515	84312	79083
516	84503	78946
517	84685	78800
518	84848	78636
519	85018	78478
520	85193	78326
521	85366	78170
522	85620	78089
523	85771	77914
524	85923	77740
525	86066	77557
526	86248	77410
527	86420	77254
528	86605	77109
529	86759	76937
530	86927	76777
531	87096	76618
532	87301	76491
533	87447	76311
534	87600	76138
535	87755	75967
536	87914	75800
537	88081	75638
538	88238	75469
539	88412	75314
540	88592	75164
541	88768	75010
542	88942	74855
543	89102	74688
544	89272	74530
545	89451	74379
546	89634	74231
547	89814	74080
548	89968	73908
549	90149	73758
550	90343	73619
551	90529	73473
552	90709	73322
553	90914	73190
554	91067	73018
555	91238	72859
556	91410	72701
557	91590	72550
558	91773	72400
559	91929	72230
560	92084	72059
561	92267	71909
562	92437	71749
563	92613	71594
564	92780	71433
565	92956	71277
566	93133	71122
567	93323	70978
568	93470	70801
569	93644	70643
570	93790	70466
571	93958	70304
572	94127	70143
573	94296	69982
574	94467	69824
575	94617	69649
576	94799	69497
577	94982	69347
578	95148	69183
579	95317	69022
580	95473	68852
581	95674	68714
582	95849	68558
583	96010	68391
584	96170	68223
585	96357	68075
586	96522	67911
587	96702	67757
588	96854	67584
589	97061	67449
590	97229	67287
591	97421	67141
592	97566	66963
593	97752	66813
594	97934	66661
595	98113	66506
596	98261	66330
597	98444	66178
598	98612	66016
599	98791	65861
600	98973	65707
601	99151	65552
602	99307	65381
603	99471	65216
604	99634	65050
605	99843	64914
606	100001	64745
607	100158	64576
608	100326	64413
609	100491	64248
610	100666	64090
611	100839	63930
612	100998	63762
613	101180	63608
614	101362	63454
615	101535	63294
616	101683	63119
617	101872	62969
618	102038	62805
619	102227	62655
620	102393	62491
621	102549	62320
622	102729	62165
623	102911	62010
624	103069	61841
625	103238	61679
626	103407	61516
627	103571	61351
628	103733	61184
629	103963	61058
630	104147	60904
631	104324	60745
632	104505	60590
633	104683	60432
634	104864	60276
635	105031	60112
636	105224	59963
637	105407	59808
638	105585	59650
639	105745	59481
640	105921	59322
641	106064	59144
642	106218	58973
643	106403	58819
644	106559	58648
645	106885	58571
646	107067	58415
647	107239	58253
648	107396	58083
649	107555	57914
650	107712	57744
651	107881	57581
652	108056	57420
653	108252	57270
654	108434	57114
655	108601	56949
656	108766	56783
657	108936	56620
658	109077	56442
659	109249	56280
660	109430	56122
661	109601	55959
662	109786	55804
663	109968	55646
664	110145	55487
665	110299	55315
666	110472	55153
667	110629	54983
668	110779	54810
669	110991	54667
670	111197	54521
671	111374	54361
672	111554	54202
673	111745	54049
674	111936	53895
675	112119	53737
676	112296	53577
677	112481	53420
678	112672	53266
679	112851	53106
680	113007	52935
681	113173	52769
682	113327	52598
683	113493	52432
684	113669	52271
685	113853	52113
686	114007	51942
687	114197	51787
688	114393	51634
689	114538	51459
690	114705	51293
691	114877	51130
692	115060	50971
693	115245	50814
694	115436	50659
695	115612	50497
696	115776	50330
697	115942	50164
698	116132	50008
699	116293	49840
700	116476	49680
701	116634	49511
702	116796	49343
703	116963	49177
704	117125	49009
705	117279	48838
706	117468	48682
707	117665	48528
708	117845	48368
709	118012	48202
710	118193	48042
711	118364	47877
712	118525	47709
713	118685	47540
714	118859	47377
715	119039	47216
716	119217	47055
717	119414	46901
718	119615	46748
719	119768	46576
720	119944	46413
721	120114	46249
722	120294	46088
723	120532	45948
724	120777	45812
725	121045	45683
726	121277	45541
727	121525	45405
728	121721	45249
729	121879	45078
730	122049	44912
731	122229	44750
732	122391	44581
733	122554	44413
734	122747	44255
735	122946	44100
736	123127	43938
737	123293	43770
738	123486	43612
739	123669	43451
740	123831	43282
741	123987	43111
742	124169	42949
743	124352	42787
744	124531	42624
745	124726	42467
746	124904	42303
747	125099	42145
748	125255	41974
749	125417	41805
750	125605	41645
751	125765	41475
752	125928	41307
753	126088	41137
754	126243	40966
755	126439	40808
756	126619	40645
757	126815	40487
758	127001	40325
759	127179	40162
760	127330	39989
761	127522	39829
762	127703	39666
763	127858	39495
764	128036	39331
765	128225	39170
766	128401	39005
767	128584	38843
768	128739	38671
769	128897	38501
770	129065	38334
771	129257	38174
772	129466	38019
773	129634	37852
774	129821	37689
775	129985	37521
776	130135	37349
777	130301	37181
778	130491	37020
779	130674	36856
780	130844	36690
781	131024	36526
782	131177	36354
783	131371	36194
784	131558	36032
785	131730	35865
786	131899	35698
787	132054	35527
788	132218	35358
789	132409	35197
790	132592	35033
791	132759	34866
792	132935	34700
793	133130	34540
794	133323	34378
795	133515	34217
796	133682	34049
797	133846	33881
798	134055	33723
799	134246	33561
800	134452	33403
801	134644	33241
802	134850	33082
803	135012	32913
804	135217	32754
805	135402	32590
806	135644	32440
807	135982	32312
808	136316	32183
809	136573	32035
810	136855	31893
811	137097	31741
812	137286	31577
813	137507	31420
814	137679	31252
815	137904	31096
816	138135	30941
817	138369	30786
818	138581	30626
819	138736	30454
820	138919	30288
821	139113	30124
822	139313	29961
823	139503	29796
824	139669	29626
825	139858	29461
826	140109	29309
827	140299	29144
828	140491	28979
829	140641	28806
830	140839	28642
831	141016	28474
832	141189	28305
833	141352	28134
834	141523	27965
835	141682	27794
836	141872	27628
837	142029	27456
838	142207	27288
839	142387	27121
840	142573	26955
841	142758	26788
842	142953	26623
843	143127	26454
844	143328	26291
845	143503	26122
846	143722	25961
847	143932	25799
848	145160	25817
849	145488	25674
850	145692	25509
851	145875	25339
852	146046	25168
853	146273	25007
854	146574	24857
855	146795	24694
856	147029	24533
857	147247	24369
858	147422	24198
859	147620	24031
860	147813	23863
861	148006	23694
862	148181	23523
863	148354	23352
864	148511	23178
865	148733	23014
866	149022	22860
867	149240	22695
868	149579	22548
869	149811	22385
870	150043	22222
871	150284	22060
872	151489	22037
873	151755	21877
874	151971	21710
875	152282	21555
876	152513	21390
877	152787	21230
878	153009	21062
879	153222	20893
880	153417	20722
881	153652	20556
882	153824	20382
883	154034	20212
884	154197	20037
885	154380	19863
886	154584	19693
887	154768	19520
888	154964	19348
889	155142	19174
890	155329	19002
891	155519	18829
892	155713	18657
893	155871	18481
894	156062	18308
895	156216	18132
896	156413	17960
897	156609	17788
898	156804	17616
899	156990	17443
900	157158	17268
901	157345	17095
902	157518	16920
903	157692	16746
904	157957	16581
905	158151	16408
906	158409	16242
907	158651	16074
908	158845	15902
909	159011	15726
910	159195	15552
911	159363	15377
912	159538	15202
913	159737	15029
914	160005	14863
915	160199	14690
916	160409	14519
917	160634	14348
918	160820	14174
919	161036	14003
920	161243	13830
921	161448	13658
922	161656	13485
923	161846	13312
924	162096	13142
925	162298	12969
926	162567	12801
927	162792	12630
928	163024	12459
929	163287	12290
930	163515	12118
931	163779	11949
932	163989	11776
933	164177	11601
934	164416	11430
935	164610	11255
936	164807	11080
937	164995	10905
938	165186	10730
939	165395	10557
940	165589	10382
941	165787	10207
942	165997	10033
943	166194	9858
944	166406	9685
945	166593	9509
946	166793	9334
947	166946	9157
948	167120	8981
949	167311	8805
950	167504	8630
951	167682	8454
952	167888	8279
953	168082	8104
954	168282	7929
955	168441	7752
956	168616	7576
957	168817	7401
958	169040	7226
959	169230	7051
960	169422	6875
961	169607	6699
962	169790	6523
963	169972	6347
964	170177	6172
965	170379	5996
966	170571	5820
967	170785	5645
968	170953	5469
969	171114	5292
970	171285	5115
971	171475	4939
972	171689	4764
973	171871	4587
974	172063	4411
975	172239	4235
976	172412	4058
977	172593	3882
978	172790	3706
979	172976	3530
980	173167	3353
981	173365	3177
982	173586	3002
983	173753	2825
984	173950	2648
985	174096	2471
986	174291	2295
987	174478	2119
988	174675	1942
989	174865	1766
990	175046	1589
991	175209	1412
992	175385	1236
993	175550	1059
994	175742	883
995	175906	706
996	176094	529
997	176267	353
998	176449	176
999	176640	0
