iter	Logloss
0	0.5850929929
1	0.510748145
2	0.4516822374
3	0.4101189198
4	0.3766493919
5	0.3510154632
6	0.3307771565
7	0.3158389682
8	0.303410878
9	0.2930428433
10	0.2856225308
11	0.2801569992
12	0.2759381156
13	0.2724835554
14	0.2694183591
15	0.2670843455
16	0.2647452726
17	0.2626152407
18	0.2615139979
19	0.2600439318
20	0.2590277323
21	0.2583729227
22	0.2574992264
23	0.256651753
24	0.255887212
25	0.2553509659
26	0.2548081485
27	0.2543681729
28	0.2538486097
29	0.253596774
30	0.2533111606
31	0.2529072832
32	0.2525730497
33	0.2521727651
34	0.2518789174
35	0.2516259801
36	0.2513367687
37	0.2510777859
38	0.2508484012
39	0.2506158983
40	0.2504876087
41	0.2502820313
42	0.2500883531
43	0.2499796883
44	0.2497948836
45	0.2496757848
46	0.2494386734
47	0.2493072833
48	0.2491633251
49	0.2490484024
50	0.2489325703
51	0.2488420919
52	0.2487384941
53	0.2485918182
54	0.2485446048
55	0.2484282494
56	0.2482841493
57	0.2481512686
58	0.2481074065
59	0.2480398396
60	0.2479874988
61	0.2478880212
62	0.2477957137
63	0.2477247179
64	0.2476555662
65	0.2475321664
66	0.2474420348
67	0.2473432434
68	0.2472826036
69	0.2472186612
70	0.2471450945
71	0.2470454081
72	0.2469842781
73	0.2469144458
74	0.2468536482
75	0.2467773803
76	0.2467267276
77	0.2466692055
78	0.2466091631
79	0.2465820342
80	0.2465582026
81	0.2464445197
82	0.2463746543
83	0.2463358262
84	0.2462856523
85	0.2462024882
86	0.2461325984
87	0.2460679363
88	0.2460103641
89	0.2459392866
90	0.2459015676
91	0.245861371
92	0.2458176765
93	0.2457318139
94	0.2456861532
95	0.2456328849
96	0.2455915243
97	0.2455751656
98	0.245528397
99	0.2454751356
100	0.2454329918
101	0.2453789779
102	0.2453356426
103	0.2452823451
104	0.2452034809
105	0.2451855149
106	0.2451405449
107	0.2451017329
108	0.2450453964
109	0.2449989411
110	0.2449701146
111	0.2449224773
112	0.2448329894
113	0.2447482248
114	0.2447403986
115	0.2447320902
116	0.2446987778
117	0.2446670241
118	0.2446180458
119	0.2445428051
120	0.2444617751
121	0.2443995551
122	0.244355706
123	0.244320612
124	0.2442746997
125	0.2442446112
126	0.2442199255
127	0.2441733669
128	0.2441023926
129	0.2440546796
130	0.2439984856
131	0.2439356737
132	0.2438611378
133	0.2438145709
134	0.2437581614
135	0.2437217936
136	0.2436594806
137	0.2436371698
138	0.2435778861
139	0.2435200514
140	0.2434634539
141	0.2433977663
142	0.2433730022
143	0.2433275843
144	0.2432780123
145	0.2432152562
146	0.2432059848
147	0.2431532908
148	0.243104236
149	0.2430566554
150	0.2429904298
151	0.2429527085
152	0.2428939672
153	0.2428655187
154	0.2428352421
155	0.2427975802
156	0.2427856933
157	0.2427406231
158	0.2427031202
159	0.2426394449
160	0.242616121
161	0.2425952265
162	0.2425641477
163	0.2424963299
164	0.2424339417
165	0.2424145301
166	0.2423848295
167	0.2423660763
168	0.2423467828
169	0.2422955143
170	0.2422758289
171	0.2422171306
172	0.2421572796
173	0.2421058006
174	0.2420679431
175	0.2420349956
176	0.2419987881
177	0.2419740003
178	0.2419254084
179	0.2418924165
180	0.2418604875
181	0.2417861684
182	0.241760222
183	0.2417257307
184	0.2416985302
185	0.2416795739
186	0.2416695353
187	0.241641125
188	0.2416225595
189	0.2415766375
190	0.2415225205
191	0.2414883893
192	0.2414541831
193	0.2414045267
194	0.2413710678
195	0.2413201459
196	0.2412854627
197	0.241265032
198	0.2412422421
199	0.2411728699
200	0.2411550579
201	0.2411264359
202	0.2411083326
203	0.2410817493
204	0.2410619508
205	0.2410509759
206	0.2410132069
207	0.2409529145
208	0.2409150923
209	0.2408602076
210	0.2408368973
211	0.2408017391
212	0.2407797399
213	0.2407353609
214	0.2406995994
215	0.2406615015
216	0.2406511677
217	0.2406338504
218	0.2406068627
219	0.2405594719
220	0.2405327626
221	0.2405095355
222	0.2404659479
223	0.2404596552
224	0.2404310098
225	0.2403773584
226	0.2403534401
227	0.2403408599
228	0.2403077975
229	0.2402673465
230	0.2402154472
231	0.2401765089
232	0.240153022
233	0.2401131851
234	0.2400646557
235	0.2400447812
236	0.2400092942
237	0.2399887686
238	0.2399744348
239	0.2399412201
240	0.2399011539
241	0.2398690266
242	0.2398378615
243	0.2398265845
244	0.2397911938
245	0.2397658212
246	0.2397248069
247	0.2396659336
248	0.2396426832
249	0.2396023418
250	0.2395936657
251	0.2395536346
252	0.2395257437
253	0.2394767249
254	0.239436185
255	0.2394028217
256	0.2393924401
257	0.2393775187
258	0.2393137774
259	0.2392510544
260	0.2391775965
261	0.2391286466
262	0.2391099634
263	0.2390926616
264	0.2390450321
265	0.2390169229
266	0.2389576416
267	0.2389538796
268	0.2389120806
269	0.2388771963
270	0.2388566705
271	0.2388236289
272	0.2387999165
273	0.2387745533
274	0.2387585602
275	0.2386967923
276	0.2386636619
277	0.2386259846
278	0.2386204602
279	0.2385721905
280	0.238495947
281	0.2384739463
282	0.2384479812
283	0.2384233631
284	0.2384010881
285	0.2383840109
286	0.2383749667
287	0.2383535638
288	0.2383284226
289	0.2383092935
290	0.2382757115
291	0.2382380588
292	0.238191643
293	0.2381522656
294	0.2380927364
295	0.2380869606
296	0.2380311149
297	0.2380199914
298	0.2379709131
299	0.2379499518
300	0.2379213733
301	0.2378824148
302	0.2378451267
303	0.2378114688
304	0.2377768508
305	0.2377530826
306	0.2377076287
307	0.2376880503
308	0.2376705273
309	0.2376514403
310	0.2376395157
311	0.2376054417
312	0.2375470561
313	0.2375360738
314	0.2375200316
315	0.2374648074
316	0.2374150073
317	0.2373795941
318	0.2373371198
319	0.2373052917
320	0.2372832231
321	0.2372377318
322	0.2371827837
323	0.2371422012
324	0.2371271237
325	0.2371011929
326	0.2370704207
327	0.2370337613
328	0.2370120986
329	0.2369819578
330	0.2369648297
331	0.236963244
332	0.2369172897
333	0.2368866824
334	0.236842463
335	0.2368289467
336	0.2368177508
337	0.236780821
338	0.2367523881
339	0.2367029523
340	0.2366705515
341	0.2366233
342	0.2366067641
343	0.2365909312
344	0.2365701673
345	0.2365212999
346	0.2364895703
347	0.2364641707
348	0.236428275
349	0.236410819
350	0.2363815386
351	0.2363516574
352	0.2363039326
353	0.2362629182
354	0.2362080663
355	0.2361714854
356	0.2361411443
357	0.2361145475
358	0.2360806228
359	0.2360567769
360	0.2360084259
361	0.235969229
362	0.2359442325
